exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,3.2673,187.824961,18.0,58.8114,2025-09-14
drift,CROSS,1KWEN-USD,4,0.03984,213362.067549,442004.0,17609.43936,2025-09-14
drift,CROSS,1MBONK-USD,10,25.6482,5931571.381214,310867.7,7973196.94314,2025-09-14
drift,CROSS,1MPEPE-USD,4,11.8028,156307.439033,16741.0,197590.67479999998,2025-09-14
drift,CROSS,ADA-USD,10,0.922722,197067.583368,798631.0,736914.393582,2025-09-14
drift,CROSS,AI16Z-USD,4,0.128945,11040.52651,502285.0,64767.139325000004,2025-09-14
drift,CROSS,APT-USD,10,4.620178,20706.056797,55612.2,256938.2629716,2025-09-14
drift,CROSS,ARB-USD,10,0.536483,37007.150422,822300.0,441149.9709,2025-09-14
drift,CROSS,AVAX-USD,10,29.962725,1095433.908726,40285.9,1207075.3430775,2025-09-14
drift,CROSS,BERA-USD,5,2.452594,5905.234052,97515.4,239165.68494759998,2025-09-14
drift,CROSS,BNB-USD,10,934.710187,41280.68188,343.3,320886.0071971,2025-09-14
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,BTC-USD,101,116045.441609,49929421.233647,964.0717,111876126.16923936,2025-09-14
drift,CROSS,CLOUD-USD,2,0.104966,29225.255839,1593336.0,167246.10657600002,2025-09-14
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-09-14
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,DOGE-USD,10,0.287942,1217654.93335,16979152.0,4889010.985184,2025-09-14
drift,CROSS,DRIFT-USD,5,0.639573,290085.075489,7744812.0,4953372.645276,2025-09-14
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-09-14
drift,CROSS,ETH-USD,101,4676.542609,71819955.637191,17263.411,80733077.1181793,2025-09-14
drift,CROSS,FARTCOIN-USD,10,0.92862,1617896.680461,2858836.0,2654772.28632,2025-09-14
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,FWOG-USD,4,0.046614,1214.460386,3539918.0,165009.737652,2025-09-14
drift,CROSS,GOAT-USD,4,0.111433,22006.774599,689095.0,76787.923135,2025-09-14
drift,CROSS,HNT-USD,5,2.74808,103705.045867,195509.0,537274.37272,2025-09-14
drift,CROSS,HYPE-USD,10,55.056915,11958348.503986,346526.5,19078680.055747498,2025-09-14
drift,CROSS,INJ-USD,10,14.420755,141142.363261,33805.5,487500.8331525,2025-09-14
drift,CROSS,IO-USD,2,0.644833,572.510092,56870.0,36671.65271,2025-09-14
drift,CROSS,IP-USD,5,9.695495,51284.662221,18699.7,181302.8478515,2025-09-14
drift,CROSS,JTO-USD,10,1.978502,138012.528965,460432.0,910965.632864,2025-09-14
drift,CROSS,JUP-USD,10,0.546272,1940002.615123,11326998.0,6187621.851456,2025-09-14
drift,CROSS,KAITO-USD,5,1.216449,17785.303987,68389.0,83191.730661,2025-09-14
drift,CROSS,KAMALA-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,KMNO-USD,2,0.066352,27487.79353,26339648.0,1747688.3240959998,2025-09-14
drift,CROSS,LANDO-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,LAUNCHCOIN-USD,4,0.09803,14756.56199,1513662.0,148384.28586,2025-09-14
drift,CROSS,LINK-USD,10,24.83998,885606.428096,73906.5,1835835.98187,2025-09-14
drift,CROSS,LNDO-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,LTC-USD,10,118.256665,9615.24736,559.36,66148.0481344,2025-09-14
drift,CROSS,ME-USD,5,0.718139,4707.201832,55226.0,39659.944414,2025-09-14
drift,CROSS,MELANIA-USD,4,0.207053,9048.973076,495823.5,102661.74314549999,2025-09-14
drift,CROSS,MICHI-USD,4,0.026661,0.0,272.0,7.251792,2025-09-14
drift,CROSS,MOODENG-USD,4,0.21803,60297.953119,741000.0,161560.23,2025-09-14
drift,CROSS,MOTHER-USD,4,0.008673,150103.903897,19522430.0,169318.03539,2025-09-14
drift,CROSS,NBAFINALS25-USD,1,0.999999,0.0,32.0,31.999968,2025-09-14
drift,CROSS,NBAFINALS25-USD,1,1e-06,0.0,213.0,0.000213,2025-09-14
drift,CROSS,OP-USD,10,0.81136,9533.256119,141241.0,114597.29776,2025-09-14
drift,CROSS,PAXG-USD,10,3642.029986,7375.514488,182.953,666320.312028658,2025-09-14
drift,CROSS,PENGU-USD,5,0.03583,399726.737844,40289388.0,1443568.77204,2025-09-14
drift,CROSS,PNUT-USD,4,0.262848,22267.657931,211979.0,55718.25619200001,2025-09-14
drift,CROSS,POL-USD,10,0.282097,27170.817982,152237.0,42945.600989,2025-09-14
drift,CROSS,POPCAT-USD,4,0.2941,20182.245205,2190280.0,644161.3479999999,2025-09-14
drift,CROSS,PUMP-USD,5,0.007775,2574436.346229,368194168.0,2862709.6562,2025-09-14
drift,CROSS,PYTH-USD,10,0.173958,210408.07574,5044430.0,877518.95394,2025-09-14
drift,CROSS,RAY-USD,5,3.56855,151028.487634,244724.0,873309.8302000001,2025-09-14
drift,CROSS,RENDER-USD,10,4.014699,61976.525749,116158.0,466339.406442,2025-09-14
drift,CROSS,REPUBLICAN-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,RLB-USD,5,0.067019,0.0,500.0,33.509499999999996,2025-09-14
drift,CROSS,SEI-USD,10,0.340503,189041.856887,2491583.0,848391.486249,2025-09-14
drift,CROSS,SOL-USD,101,245.067957,242033507.799034,1448177.81,354901977.2694342,2025-09-14
drift,CROSS,SUI-USD,10,3.776604,2816691.839123,2254570.0,8514618.08028,2025-09-14
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,TAO-USD,5,357.16241,48229.957033,1938.01,692184.3222041001,2025-09-14
drift,CROSS,TIA-USD,10,1.843262,37168.473103,165557.0,305164.926934,2025-09-14
drift,CROSS,TNSR-USD,5,0.127613,50082.09273,1977266.0,252324.846058,2025-09-14
drift,CROSS,TON-USD,10,3.233637,10007.519678,50127.0,162092.52189899998,2025-09-14
drift,CROSS,TRUMP-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,TRUMP-USD,10,9.130271,261512.736408,31220.7,285053.4518097,2025-09-14
drift,CROSS,VRSTPN-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,W-USD,5,0.092801,18798.380566,1079832.0,100209.48943199999,2025-09-14
drift,CROSS,WARWICK-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,WIF-USD,10,0.963129,388908.454963,1844110.0,1776115.82019,2025-09-14
drift,CROSS,WLF-USD,1,0.999999,0.0,1070.0,1069.99893,2025-09-14
drift,CROSS,XRP-USD,20,3.113833,329798.300585,906985.0,2824199.823505,2025-09-14
drift,CROSS,ZEX-USD,2,0.077934,0.0,14.0,1.0910760000000002,2025-09-14
dydx,CROSS,1INCH-USD,5,0.2727902479,51627.593,1205430.0,328829.54852609703,2025-09-14
dydx,CROSS,AAVE-USD,10,314.20622998,72924.515,7038.6,2211571.970337228,2025-09-14
dydx,ISOLATED,ACX-USD,5,0.1545069566,23154.452,149480.0,23095.699872568,2025-09-14
dydx,CROSS,ADA-USD,10,0.925651023,1147761.643,1500300.0,1388754.2298069,2025-09-14
dydx,ISOLATED,AERGO-USD,20,0.1134,0.0,394300.0,44713.62,2025-09-14
dydx,ISOLATED,AERO-USD,20,1.221843922,35685.941,24158.0,29517.305467675997,2025-09-14
dydx,CROSS,AEVO-USD,5,0.102510962,1350.972,195196.0,20009.729738552,2025-09-14
dydx,CROSS,AGIX-USD,5,0.5984417141,0.0,0.0,0.0,2025-09-14
dydx,ISOLATED,AI16Z-USD,20,0.129589032,263.932,82300.0,10665.177333599999,2025-09-14
dydx,ISOLATED,AITECH-USD,20,0.0355763458,0.0,100.0,3.5576345799999998,2025-09-14
dydx,ISOLATED,AIXBT-USD,20,0.1259865578,15990.75,142520.0,17955.604217656,2025-09-14
dydx,ISOLATED,AKT-USD,20,1.213163998,17697.28,61919.0,75117.901592162,2025-09-14
dydx,CROSS,ALGO-USD,5,0.2508505103,16074.047,2012010.0,504713.735228703,2025-09-14
dydx,ISOLATED,ALPACA-USD,20,0.01976383468,0.0,0.0,0.0,2025-09-14
dydx,ISOLATED,ALT-USD,20,0.0358446266,0.0,0.0,0.0,2025-09-14
dydx,ISOLATED,AMPL-USD,20,1.2639972,0.0,0.0,0.0,2025-09-14
dydx,CROSS,APE-USD,5,0.624774864,246.286,220630.0,137844.07824432,2025-09-14
dydx,ISOLATED,API3-USD,20,1.02,0.0,36080.0,36801.6,2025-09-14
