exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,3.08258,7.578337,18.0,55.48644,2025-09-17
drift,CROSS,1KWEN-USD,4,0.044112,111.508656,399320.0,17614.80384,2025-09-17
drift,CROSS,1MBONK-USD,10,24.1733,905888.682162,225396.8,5448584.46544,2025-09-17
drift,CROSS,1MPEPE-USD,4,11.0986,46495.620238,27919.0,309861.8134,2025-09-17
drift,CROSS,ADA-USD,10,0.878038,121975.636982,959397.0,842387.023086,2025-09-17
drift,CROSS,AI16Z-USD,4,0.112622,8408.23428,556243.0,62645.199146,2025-09-17
drift,CROSS,APT-USD,10,4.43042,53049.669082,89328.8,395764.102096,2025-09-17
drift,CROSS,ARB-USD,10,0.49432,57797.442443,786237.0,388652.67384,2025-09-17
drift,CROSS,AVAX-USD,10,30.006946,990761.698695,52402.5,1572438.987765,2025-09-17
drift,CROSS,BERA-USD,5,2.327263,75557.290242,103296.7,240398.58793209997,2025-09-17
drift,CROSS,BNB-USD,10,957.72879,36852.277653,325.0,311261.85675,2025-09-17
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,BTC-USD,101,116693.520382,72322232.161003,888.2541,103653497.92274506,2025-09-17
drift,CROSS,CLOUD-USD,2,0.128145,9652.828991,1510994.0,193626.32613,2025-09-17
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-09-17
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,DOGE-USD,10,0.268979,639844.646608,16648896.0,4478203.397184,2025-09-17
drift,CROSS,DRIFT-USD,5,0.69161,1461633.396001,7433560.0,5141124.4316,2025-09-17
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-09-17
drift,CROSS,ETH-USD,101,4508.432298,74638224.551484,16945.09,76395791.04851681,2025-09-17
drift,CROSS,FARTCOIN-USD,10,0.839415,492855.217853,2433791.0,2042960.672265,2025-09-17
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-09-17
drift,CROSS,FWOG-USD,4,0.041771,218.648951,3590154.0,149964.32273400002,2025-09-17
drift,CROSS,GOAT-USD,4,0.099727,13166.957176,551493.0,54998.742411,2025-09-17
drift,CROSS,HNT-USD,5,2.626689,189192.07127,250030.0,656751.0506699999,2025-09-17
drift,CROSS,HYPE-USD,10,54.130537,10738454.784205,385963.0,20892384.452131,2025-09-17
drift,CROSS,INJ-USD,10,13.769606,51636.775236,31502.0,433770.128212,2025-09-17
drift,CROSS,IO-USD,2,0.626688,259.303515,44341.0,27787.972608,2025-09-17
drift,CROSS,IP-USD,5,10.068916,100408.220939,20511.1,206524.5429676,2025-09-17
drift,CROSS,JTO-USD,10,1.832117,122839.84545,480652.0,880610.700284,2025-09-17
drift,CROSS,JUP-USD,10,0.516622,842033.185086,14681467.0,7584768.844474,2025-09-17
drift,CROSS,KAITO-USD,5,1.191207,3116.060642,34642.0,41265.792894,2025-09-17
drift,CROSS,KAMALA-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,KMNO-USD,2,0.067773,36476.300558,26235828.0,1778080.771044,2025-09-17
drift,CROSS,LANDO-USD,1,0.999999,0.0,0.0,0.0,2025-09-17
drift,CROSS,LAUNCHCOIN-USD,4,0.08503,23762.177592,1867336.0,158779.58007999999,2025-09-17
drift,CROSS,LINK-USD,10,23.453238,589548.399771,103347.5,2423833.514205,2025-09-17
drift,CROSS,LNDO-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,LTC-USD,10,115.042954,34219.042227,661.64,76117.02008455999,2025-09-17
drift,CROSS,ME-USD,5,0.673512,4973.720171,82805.0,55770.16116,2025-09-17
drift,CROSS,MELANIA-USD,4,0.198121,65917.513889,391638.8,77591.87069479999,2025-09-17
drift,CROSS,MICHI-USD,4,0.026661,0.0,272.0,7.251792,2025-09-17
drift,CROSS,MOODENG-USD,4,0.187397,5290.852093,754956.0,141476.489532,2025-09-17
drift,CROSS,MOTHER-USD,4,0.008017,763809.191416,18965886.0,152049.508062,2025-09-17
drift,CROSS,NBAFINALS25-USD,1,0.999999,0.0,32.0,31.999968,2025-09-17
drift,CROSS,NBAFINALS25-USD,1,1e-06,0.0,108.0,0.000108,2025-09-17
drift,CROSS,OP-USD,10,0.775517,11551.613018,125603.0,97407.261751,2025-09-17
drift,CROSS,PAXG-USD,10,3692.504891,130495.35596,122.55,452516.47439205,2025-09-17
drift,CROSS,PENGU-USD,5,0.033689,123860.333957,42149718.0,1419981.849702,2025-09-17
drift,CROSS,PNUT-USD,4,0.246631,2.442115,284210.0,70094.99651,2025-09-17
drift,CROSS,POL-USD,10,0.256635,10253.845198,151518.0,38884.82193,2025-09-17
drift,CROSS,POPCAT-USD,4,0.27225,82461.154749,2484602.0,676432.8944999999,2025-09-17
drift,CROSS,PUMP-USD,5,0.007994,1976040.067218,309103112.0,2470970.277328,2025-09-17
drift,CROSS,PYTH-USD,10,0.165005,89443.925809,4585662.0,756657.1583100001,2025-09-17
drift,CROSS,RAY-USD,5,3.211752,72776.14336,296002.0,950685.015504,2025-09-17
drift,CROSS,RENDER-USD,10,3.871773,114146.529015,117312.0,454205.434176,2025-09-17
drift,CROSS,REPUBLICAN-USD,1,0.999999,0.0,0.0,0.0,2025-09-17
drift,CROSS,RLB-USD,5,0.067019,0.0,500.0,33.509499999999996,2025-09-17
drift,CROSS,SEI-USD,10,0.315758,24166.844206,2479618.0,782959.220444,2025-09-17
drift,CROSS,SOL-USD,101,236.321027,125971177.69364,1623015.43,383552673.25444657,2025-09-17
drift,CROSS,SUI-USD,10,3.590328,2724700.426049,2385600.0,8565086.4768,2025-09-17
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,TAO-USD,5,344.263594,56517.18336,1986.91,684020.7775545401,2025-09-17
drift,CROSS,TIA-USD,10,1.697071,18255.710249,204124.0,346412.920804,2025-09-17
drift,CROSS,TNSR-USD,5,0.120742,97881.749667,1741048.0,210217.617616,2025-09-17
drift,CROSS,TON-USD,10,3.152525,3396.476577,41861.0,131967.849025,2025-09-17
drift,CROSS,TRUMP-USD,1,0.999999,0.0,0.0,0.0,2025-09-17
drift,CROSS,TRUMP-USD,10,8.607839,10172.541986,33995.1,292624.3475889,2025-09-17
drift,CROSS,VRSTPN-USD,1,0.999999,0.0,0.0,0.0,2025-09-17
drift,CROSS,W-USD,5,0.088986,6894.417606,2171472.0,193230.60739199998,2025-09-17
drift,CROSS,WARWICK-USD,1,1e-06,0.0,0.0,0.0,2025-09-17
drift,CROSS,WIF-USD,10,0.954825,102132.981036,1730351.0,1652182.393575,2025-09-17
drift,CROSS,WLF-USD,1,0.999999,0.0,1069.0,1068.9989309999999,2025-09-17
drift,CROSS,XRP-USD,20,3.038785,578755.715064,921381.0,2799878.762085,2025-09-17
drift,CROSS,ZEX-USD,2,0.077934,0.0,14.0,1.0910760000000002,2025-09-17
dydx,CROSS,1INCH-USD,5,0.2582291145,12690.86,1285930.0,332064.565208985,2025-09-17
dydx,CROSS,AAVE-USD,10,299.06882753,233346.276,7872.7,2354479.1584954313,2025-09-17
dydx,ISOLATED,ACX-USD,5,0.1379670117,0.0,81880.0,11296.738917996001,2025-09-17
dydx,CROSS,ADA-USD,10,0.8769884942,177187.891,1570870.0,1377634.9158839541,2025-09-17
dydx,ISOLATED,AERGO-USD,20,0.1069,9013.401,310300.0,33171.07,2025-09-17
dydx,ISOLATED,AERO-USD,20,1.267838501,6691.119,25526.0,32362.845576526,2025-09-17
dydx,CROSS,AEVO-USD,5,0.094687343,4123.899,269200.0,25489.832735599997,2025-09-17
dydx,CROSS,AGIX-USD,5,0.5984417141,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,AI16Z-USD,20,0.112525106,0.0,82300.0,9260.8162238,2025-09-17
dydx,ISOLATED,AITECH-USD,20,0.03431215607,0.0,100.0,3.4312156070000004,2025-09-17
dydx,ISOLATED,AIXBT-USD,20,0.1142771385,0.0,142520.0,16286.77777902,2025-09-17
dydx,ISOLATED,AKT-USD,20,1.1395,7005.097,56591.0,64485.4445,2025-09-17
dydx,CROSS,ALGO-USD,5,0.2361487562,29970.161,1937510.0,457540.57662506204,2025-09-17
dydx,ISOLATED,ALPACA-USD,20,0.01756878439,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,ALT-USD,20,0.033996396,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,AMPL-USD,20,1.2639972,0.0,0.0,0.0,2025-09-17
dydx,CROSS,APE-USD,5,0.582983346,2276.981,224183.0,130694.955456318,2025-09-17
dydx,ISOLATED,API3-USD,20,0.9329288189,0.0,36080.0,33660.071785912,2025-09-17
dydx,CROSS,APT-USD,10,4.428132941,132127.998,73013.0,323311.270421233,2025-09-17
dydx,ISOLATED,AR-USD,20,6.92746373,199.33,1284.6,8899.019907558,2025-09-17
dydx,CROSS,ARB-USD,10,0.494747373,93971.176,1160915.0,574359.646526295,2025-09-17
dydx,CROSS,ARKM-USD,5,0.618997599,1757.584,15525.0,9609.937724475,2025-09-17
dydx,CROSS,ASTR-USD,5,0.023688288,11.376,528350.0,12515.7069648,2025-09-17
dydx,CROSS,ATH-USD,5,0.06375587793,530714.748,564800.0,36009.319854864,2025-09-17
dydx,CROSS,ATOM-USD,10,4.520877356,67141.243,166158.0,751179.939718248,2025-09-17
dydx,ISOLATED,AURORA-USD,20,0.15936812,0.0,0.0,0.0,2025-09-17
dydx,CROSS,AVAX-USD,10,30.0260104,1492482.36,104747.0,3145134.5113688,2025-09-17
dydx,CROSS,AXL-USD,5,0.319827931,446.793,418978.0,134000.86687451802,2025-09-17
dydx,ISOLATED,AXS-USD,20,2.466604932,499.546,747.0,1842.553884204,2025-09-17
dydx,ISOLATED,B3-USD,20,0.003144652723,45733.352,2452000.0,7710.688476796,2025-09-17
dydx,ISOLATED,BABY-USD,20,0.05214607303,684260.874,457500.0,23856.828411224997,2025-09-17
